FirstAngle,SecondAngle,Expected,ZeroforValidInput
99.6543,74.0113,6.3344,0
167.1861,10.4697,2.3442,0
106.0827,6.6034,67.3139,0
5.7358,17.2733,156.9909,0
58.3491,34.6279,87.023,0
126.9033,2.6767,50.42,0
146.0168,14.5457,19.4375,0
108.1695,16.7761,55.0544,0
44.1941,130.1303,5.6756,0
73.7674,67.266,38.9666,0
4.7827,46.3782,128.8391,0
19.0327,29.5151,131.4522,0
84.2441,61.0003,34.7556,0
143.3356,27.7466,8.9178,0
133.2289,37.6182,9.1529,0
173.409,3.3324,3.2586,0
127.1581,39.421,13.4209,0
43.18,120.8009,16.0191,0
145.4201,23.8446,10.7353,0
53.342,118.8489,7.8091,0
